symbol,market,asset_type,trade_date,open,high,low,close,prev_close,volume,amount,pct_change,ret_1d,log_ret_1d,quality_flag,ingest_time,data_version
3690.HK,HK,equity,2024-10-02,178.0,201.4,178.0,197.2,172.0,111032616.0,21390913356.63,0.1465116279069767,0.1465116279069767,0.13672396535508197,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-03,198.0,209.8,189.0,205.0,197.2,78089168.0,15514923092.3,0.03955375253549698,0.03955375253549698,0.038791536969873155,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-04,199.9,213.8,197.3,213.4,205.0,72028503.0,14933098677.66,0.0409756097560976,0.0409756097560976,0.04015835972924485,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-07,212.0,217.0,206.2,213.2,213.4,50709476.0,10783014713.64,-0.0009372071227742307,-0.0009372071227742307,-0.0009376465759636146,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-08,204.8,207.6,177.7,180.2,213.2,129061135.0,24708532544.74,-0.15478424015009384,-0.15478424015009384,-0.16816334711745198,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-09,189.4,198.4,175.3,184.4,180.2,108218713.0,20178267892.9,0.023307436182020025,0.023307436182020025,0.02303996594825596,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-10,193.2,200.0,189.7,193.7,184.4,68711009.0,13354745626.15,0.05043383947939262,0.05043383947939262,0.049203259290456734,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-14,189.9,190.8,177.8,183.6,193.7,62345605.0,11495666215.36,-0.05214248838409907,-0.05214248838409907,-0.05355109222656005,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-15,182.8,185.4,168.4,170.8,183.6,69635778.0,12129061802.703,-0.06971677559912848,-0.06971677559912848,-0.07226619683192054,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-16,170.0,177.6,167.1,173.2,170.8,48202224.0,8374350044.35,0.014051522248243353,0.014051522248243353,0.013953714773865089,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-17,176.7,180.3,168.4,170.2,173.2,37092810.0,6452344454.5,-0.01732101616628179,-0.01732101616628179,-0.017472779989061056,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-18,170.1,187.8,170.0,185.4,170.2,55680008.0,10037683247.12,0.08930669800235025,0.08930669800235025,0.08554143699248108,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-21,182.3,187.3,179.1,181.2,185.4,32248970.0,5903474820.6,-0.02265372168284796,-0.02265372168284796,-0.022914259522875888,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-22,181.2,188.6,180.5,184.8,181.2,25949808.0,4789199645.6,0.019867549668874274,0.019867549668874274,0.019672765598704928,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-23,187.3,197.5,186.2,194.9,184.8,45149007.0,8764179961.5,0.05465367965367962,0.05465367965367962,0.05321244730593131,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-24,190.6,194.2,186.5,187.0,194.9,29157453.0,5525835043.78,-0.0405336069779374,-0.0405336069779374,-0.0413779896589285,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-25,186.5,189.8,182.6,184.9,187.0,24837829.0,4617209291.16,-0.011229946524064172,-0.011229946524064172,-0.011293478461507462,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-28,185.9,189.0,183.7,185.2,184.9,19619475.0,3642555441.86,0.0016224986479176362,0.0016224986479176362,0.001621183818999689,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-29,189.2,192.9,186.9,189.3,185.2,32660150.0,6204712780.28,0.022138228941684712,0.022138228941684712,0.021896736003198202,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-30,186.5,190.2,182.6,184.7,189.3,25149030.0,4659105348.54,-0.024300052826201957,-0.024300052826201957,-0.024600171010083053,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-10-31,185.4,186.4,182.3,182.5,184.7,18630573.0,3425203144.9,-0.011911207363291765,-0.011911207363291765,-0.011982714182648022,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-01,186.4,190.4,184.6,187.6,182.5,21507197.0,4035753876.437,0.027945205479452007,0.027945205479452007,0.02756186354957806,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-04,188.0,190.4,185.0,187.7,187.6,14033434.0,2631009671.55,0.0005330490405117683,0.0005330490405117683,0.0005329070203388764,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-05,184.4,193.9,184.4,193.8,187.7,28395939.0,5386755844.52,0.03249866808737356,0.03249866808737356,0.031981755864202814,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-06,191.0,193.0,183.3,189.3,193.8,38093891.0,7161648216.1,-0.023219814241486114,-0.023219814241486114,-0.023493641241388738,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-07,188.0,200.4,186.1,199.9,189.3,42255252.0,8287126730.4,0.05599577390385635,0.05599577390385635,0.05448418329107725,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-08,203.0,205.4,190.4,191.8,199.9,39449252.0,7708009189.7,-0.040520260130065044,-0.040520260130065044,-0.04136407905701655,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-11,185.0,187.1,181.3,185.6,191.8,39159080.0,7202967282.22,-0.03232533889468203,-0.03232533889468203,-0.03285934209723772,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-12,182.8,184.8,171.8,175.7,185.6,60520914.0,10711866301.7,-0.05334051724137934,-0.05334051724137934,-0.05481582515904872,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-13,173.0,175.6,168.6,175.4,175.7,36152267.0,6238892593.28,-0.0017074558907227422,-0.0017074558907227422,-0.0017089152549687608,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-14,171.0,177.8,168.1,169.3,175.4,33412299.0,5715455713.7,-0.03477765108323827,-0.03477765108323827,-0.03539679079899299,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-15,171.0,174.0,166.6,169.6,169.3,26486305.0,4513609058.5,0.0017720023626697223,0.0017720023626697223,0.0017704342187129713,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-18,171.0,173.0,166.7,169.0,169.6,28205598.0,4784863769.64,-0.003537735849056589,-0.003537735849056589,-0.0035440084347292105,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-19,169.1,172.6,167.2,171.9,169.0,26059344.0,4430973299.34,0.017159763313609577,0.017159763313609577,0.017014197465730206,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-20,171.9,176.0,170.9,174.8,171.9,23492659.0,4078124695.45,0.016870273414776094,0.016870273414776094,0.016729550832631574,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-21,174.8,175.9,172.1,172.7,174.8,14104129.0,2450838360.24,-0.012013729977116805,-0.012013729977116805,-0.012086478068802269,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-22,172.5,174.4,165.1,167.1,172.7,25731303.0,4333002442.7,-0.03242617255356106,-0.03242617255356106,-0.03296354955128486,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-25,165.9,168.2,158.2,162.0,167.1,54935851.0,8902161289.4,-0.030520646319569078,-0.030520646319569078,-0.03099610036896391,PASS,2026-04-20T12:14:39Z,D20260420.01
3690.HK,HK,equity,2024-11-26,161.0,168.6,160.2,164.3,162.0,25797668.0,4255800222.69,0.014197530864197505,0.014197530864197505,0.014097689810838296,PASS,2026-04-20T12:14:39Z,D20260420.01
